id,createdUTC,text,stance,children,imgId
71,1644448802,Richard Zussman on Twitter - NEW - British Columbia is moving ahead with mandatory COVID-19 vaccine for ALL health care professionals in B.C. This includes dentists and chiropractors. This will be in place on March 24.,none,"['71-8', '71-15', '71-79', '71-104', '71-137', '71-207', '71-222', '71-236', '71-271', '71-325']",71
77,1626433283,Doug Ford opposes mandatory shots and proof-of-vaccination documentation,favor,"['77-7', '77-13', '77-14', '77-33', '77-47', '77-49', '77-76', '77-88', '77-91', '77-92', '77-98', '77-104', '77-107', '77-108', '77-152', '77-173', '77-192', '77-194', '77-267', '77-309', '77-342', '77-347', '77-348', '77-371', '77-373', '77-379', '77-384', '77-399', '77-402', '77-406', '77-449', '77-456', '77-463']",77
95,1626188231,Greece and France join Italy in making Covid-19 vaccines mandatory for health workers,none,"['95-3', '95-25', '95-26', '95-41', '95-54', '95-56', '95-60', '95-81', '95-86', '95-87', '95-126', '95-185', '95-191']",95
100,1629076004,"Canada will order mandatory vaccination for all federal workers. ""Vaccines work. Since the start of Canada’s vaccination campaign in mid-December, less than 1% of COVID-19 cases have been among people who are fully vaccinated."" Prime Minister Justin Trudeau said.",against,"['100-41', '100-42', '100-105', '100-131', '100-132']",100
101,1676995399,"After opposing mandatory vaccinations for police officers, Chicago police are angry about not getting line of duty disability after getting COVID.",against,['101-1'],101
105,1589391903,"72% of Canadians support mandatory coronavirus vaccine, Ipsos poll suggests",none,"['105-9', '105-33', '105-50', '105-56', '105-65', '105-106', '105-115', '105-181', '105-193', '105-203', '105-205', '105-206', '105-229', '105-231', '105-234', '105-258', '105-260', '105-262', '105-281', '105-288', '105-304', '105-356', '105-396']",105
120,1637422842,"MASSIVE protest in Vienna, Austria today against the lockdown and mandatory “vaccinations”",against,"['120-56', '120-60', '120-66', '120-100', '120-108', '120-160', '120-170', '120-174', '120-199']",120
132,1641596841,"“Mandatory vaccinations coming to Canada, believes health minister Jean-Yves Duclos” What’s your opinion on this and do you think BC will mandate it?",none,"['132-4', '132-9', '132-11', '132-23', '132-43', '132-128', '132-139', '132-141', '132-202', '132-219', '132-221', '132-244', '132-248', '132-261', '132-264', '132-304', '132-315', '132-352', '132-388', '132-406']",132
139,1644340199,"Sask. to end COVID-19 proof of vaccination policy on Feb. 14, mandatory masking to remain until end of month",against,"['139-12', '139-45', '139-49', '139-167', '139-257', '139-270', '139-358', '139-384', '139-397', '139-421', '139-430']",139
144,1633966391,"Vaccine Mandates are constitutional; religious exemptions are unnecessary and harmful. If we’re to be free of the pandemic that’s killed 710,000 of our friends, brothers, sisters, and parents we need mandatory vaccination now. Religious exemptions be damned.",against,"['144-8', '144-12', '144-13', '144-14', '144-44', '144-47', '144-52', '144-53', '144-88', '144-170']",144
150,1647486011,"Olivia from Ohio was against mandatory Covid vaccines before they were even out. She passed from Covid in July 2021 before HCAs became popular. She would have missed out on hers, but her daughter posted a long video on how the ""Fauci Protocol"" killed Olivia.",none,"['150-18', '150-105']",150
155,1629858616,Over 150 nurses and doctors who work at a hospital nearby organized and walked off the in protest of mandatory vaccinations. It's now a 6-8 hour wait time to be seen there.,favor,"['155-2', '155-4', '155-5', '155-130', '155-150']",155
184,1598266219,"Anti-lockdown, anti-mandatory vaccination, basically anti-NWO protest in London this Saturday",favor,"['184-6', '184-70', '184-80', '184-103', '184-114', '184-198']",184
185,1550172789,Petition calls for mandatory vaccinations in B.C. schools,against,"['185-2', '185-18', '185-37', '185-45', '185-50', '185-59', '185-78', '185-97', '185-107', '185-109', '185-113', '185-154', '185-170', '185-206']",185
189,1747950564,Better Check In With Your Conspiracy Theorist Friends … You Owe Them Another Beer,against,"['189-41', '189-57', '189-65', '189-83', '189-157', '189-167', '189-207', '189-226', '189-250']",189
196,1629916491,Mandatory vaccines are now official,against,"['196-46', '196-59', '196-159', '196-199']",196
221,1644613576,Trudeau warns of 'severe consequences' for anti-vaccine mandate protesters who don't stand down | CBC News,against,"['221-27', '221-42', '221-90', '221-237', '221-238', '221-256', '221-265', '221-458']",221
232,1635550242,Supreme Court rejects religious exemptions for vaccine mandates in 6-3 Maine ruling,none,"['232-4', '232-11', '232-71', '232-162', '232-188', '232-200', '232-235', '232-244']",232
238,1629123554,"No Vax, No Service: COVID vaccine mandate goes into effect in NYC restaurants, venues; NYC is the first major U.S. city to require anyone partaking in certain indoor activities or large outdoor gatherings to show proof they’ve been vaxxed",none,"['238-27', '238-77', '238-80', '238-95', '238-112', '238-137', '238-159', '238-190', '238-233', '238-236', '238-436']",238
240,1631958601,Georgia Gov. Brian Kemp keeps mentioning failed AIDS vaccine mandates. But there is no AIDS vaccine,none,"['240-135', '240-154', '240-173', '240-261', '240-393']",240
262,1643220538,"Holocaust survivors demand that Tucker Carlson, GOP lawmakers, and anti-vaccine activists stop comparing their ordeal to COVID-19 mandates and restrictions",against,"['262-56', '262-96', '262-142', '262-145', '262-205', '262-307']",262
264,1634123035,Vaccine hesitant New Yorkers consider leaving the city as mandates take effect,none,"['264-2', '264-3', '264-13', '264-83', '264-87', '264-157', '264-188', '264-210', '264-252', '264-274', '264-445']",264
265,1631291062,Biden 'Disappointed' in Backlash Over Vaccine Mandates: 'This Isn't a Game',favor,"['265-7', '265-9', '265-21', '265-30', '265-35', '265-67', '265-118', '265-139', '265-167', '265-217', '265-231', '265-258', '265-334', '265-367', '265-431', '265-480']",265
274,1644275926,California will lift mask mandate for vaccinated residents in indoor public places next week,against,"['274-5', '274-18', '274-26', '274-67', '274-110', '274-112', '274-194', '274-228', '274-299', '274-327', '274-368', '274-373', '274-411', '274-446']",274
275,1631035280,Whopping 70 percent of unvaccinated Americans would quit their job if vaccines are mandated,favor,"['275-7', '275-30', '275-57', '275-93', '275-95', '275-164', '275-190', '275-253', '275-259', '275-265', '275-328', '275-359', '275-392', '275-436']",275
276,1630670128,"Wife of Wisconsin lawmaker Andre Jacque (R), who opposed vaccination and mask mandates and is now hospitalized and on a ventilator, urges vaccination",none,"['276-8', '276-10', '276-26', '276-250']",276
277,1643198955,"Walmart, Costco and other big box stores in Canada begin enforcing vaccine mandates, and some shoppers aren’t buying it",favor,"['277-14', '277-15', '277-19', '277-38', '277-40', '277-46', '277-50', '277-112', '277-172', '277-186', '277-208', '277-219', '277-233', '277-278', '277-289', '277-296', '277-337', '277-376', '277-410']",277
286,1629461735,"Delta variant likely to bring a fall and winter of masks, vaccine mandates, anxiety",against,"['286-18', '286-30', '286-70', '286-78', '286-83', '286-155', '286-191', '286-246', '286-290', '286-316', '286-412', '286-450', '286-452']",286
289,1633128414,"Too Bad, Anti-Vaxxers: California Will Mandate Covid Vaccines for Students",favor,"['289-2', '289-5', '289-44', '289-57', '289-107', '289-122', '289-124', '289-172', '289-248', '289-250', '289-292', '289-401', '289-416', '289-431', '289-433']",289
295,1552948660,"New Yorkers in poll want mandated vaccines, regardless of family religious beliefs",against,"['295-11', '295-14', '295-15', '295-36', '295-115', '295-182', '295-193', '295-195', '295-229', '295-238', '295-272', '295-296', '295-332', '295-398', '295-443']",295
313,1627416225,Biden says vaccine mandate for all federal employees is under consideration following VA order,favor,"['313-2', '313-6', '313-7', '313-23', '313-24', '313-75', '313-127', '313-175', '313-252', '313-266', '313-281', '313-286', '313-345', '313-417', '313-435', '313-445']",313
337,1631289989,Republicans Lose Their Minds Over Biden’s Employer Vaccine Mandate.,against,"['337-5', '337-49', '337-145', '337-154', '337-157', '337-159', '337-166', '337-179', '337-200', '337-234', '337-241', '337-245', '337-248', '337-281', '337-316', '337-365', '337-366', '337-371', '337-388', '337-421']",337
340,1732888195,New Zealand Covid inquiry finds vaccine mandates were ‘reasonable’ | Coronavirus,favor,"['340-28', '340-115', '340-162']",340
342,1634004565,"Texas Governor Greg Abbott bans vaccine mandates by ""any entity""",favor,"['342-43', '342-138', '342-146', '342-289', '342-292', '342-336', '342-409', '342-414']",342
347,1637004361,To save lives or to not save lives? Fire chief loses jobs over vaccine mandate,none,"['347-1', '347-29', '347-141', '347-213', '347-257', '347-277', '347-345', '347-350', '347-364', '347-399', '347-405', '347-429', '347-432', '347-437', '347-450']",347
349,1652899115,Unvaccinated Ukrainians will be exempt from all vaccine travel mandates and allowed to enter and leave Canada freely. But unvaccinated Canadians can’t.,favor,"['349-109', '349-162', '349-369', '349-370', '349-386', '349-412', '349-468']",349
350,1639589617,"Japan says NO to vaccine mandates, passports, and discrimination against unvaxxed.",none,"['350-13', '350-23', '350-49', '350-110', '350-119', '350-280', '350-287']",350
357,1644882768,"N.Y.C. fires 1,430 workers, less than 1 percent of city employees, over a vaccine mandate.",against,"['357-2', '357-115', '357-155', '357-160']",357
361,1639851775,Court Reinstates Biden’s COVID Vaccine Mandate for Large Companies,favor,"['361-17', '361-46', '361-69', '361-71', '361-150', '361-183', '361-193', '361-213', '361-314', '361-318']",361
366,1631477565,Whopping 70% of Unvaccinated Americans Would Quit Their Job if Vaccines are Mandated,favor,"['366-3', '366-11', '366-17', '366-29', '366-59', '366-133', '366-134', '366-192', '366-226', '366-236', '366-244', '366-247', '366-254', '366-277', '366-280', '366-288', '366-302', '366-319', '366-321', '366-337', '366-341', '366-376', '366-382', '366-420', '366-432', '366-436', '366-477']",366
374,1634558585,They are ACTUALLY becoming self aware! Regarding TX now banning private businesses from implementing their own vaccine mandates,against,"['374-8', '374-73', '374-82', '374-145', '374-173', '374-194', '374-210', '374-226']",374
384,1630099340,"Apple urges staff to get vaccinated, stops short of mandating shots",none,"['384-5', '384-81', '384-213', '384-231']",384
396,1631392230,NY hospital to pause baby deliveries after staffers quit over vaccine mandate,against,"['396-13', '396-74', '396-131', '396-166', '396-222', '396-234', '396-240', '396-279', '396-286', '396-389', '396-411', '396-412']",396
403,1709487832,Trump calls for elimination of vaccine mandates for public schools. What could go wrong?,none,"['403-13', '403-55', '403-98', '403-180']",403
411,1644855449,"@LAPublicHealth: Masks will be required @ Super Bowl. “Fans will also need to show vaccination proof or a negative COVID-19 test prior to entry. Enjoy the game & stay safe! GO RAMS!” |Alt right, fascist, racist celebrities defying California Mask Mandate at Super Bowl…Rogan most likely to blame /s",against,"['411-130', '411-145', '411-259', '411-316', '411-358']",411
432,1637314670,Austria announces fourth national lockdown and compulsory vaccination,against,"['432-3', '432-7', '432-26', '432-75', '432-78', '432-86', '432-118', '432-164', '432-180', '432-182', '432-217', '432-280', '432-330', '432-397', '432-418', '432-427']",432
444,1552539214,"'No jab, no school' - Dr Lance O'Sullivan says vaccination should be compulsory for kids",favor,"['444-23', '444-25', '444-30', '444-31', '444-69', '444-70', '444-74', '444-92', '444-105', '444-123', '444-139', '444-159', '444-184', '444-195', '444-201', '444-229', '444-238']",444
451,1571532277,Anti-Vaxxers Can No Longer Choose To Not Vaccinate Following Planned Compulsory Vaccination Bill,against,"['451-2', '451-57', '451-123']",451
457,1676296002,"A woman holds in her hands a 2011 newspaper which says in black and white that Bill Gates is going to start “Depopulation through compulsory vaccination”, as it will be the “zero carbon solution.”",against,"['457-42', '457-63']",457
469,1624992713,80% of doctors in Belgium want compulsory vaccination for health care workers,none,"['469-7', '469-9', '469-14', '469-16', '469-28', '469-32', '469-34', '469-41', '469-43', '469-44', '469-46', '469-52', '469-60', '469-69', '469-70', '469-74']",469
485,1716846574,"This is why we require rabies vaccine proof (US, CA) 💉",none,"['485-3', '485-40', '485-43', '485-50', '485-60', '485-82', '485-86', '485-96', '485-97', '485-101', '485-112', '485-128', '485-134', '485-143', '485-154', '485-162', '485-163', '485-171', '485-172', '485-177', '485-178', '485-179', '485-182', '485-184', '485-247', '485-261', '485-296', '485-307', '485-310', '485-356']",485
486,1739570959,Trump has signed an executive order stripping funds from schools requiring the COVID-19 vaccine.,favor,"['486-18', '486-20', '486-138', '486-160', '486-162', '486-172', '486-212', '486-226', '486-300', '486-304', '486-382', '486-396', '486-409', '486-418', '486-426']",486
513,1629749174,"B.C. becomes second province to require proof of vaccination, starting Sept. 13 | Globalnews.ca",against,"['513-6', '513-18', '513-27', '513-36', '513-59', '513-70', '513-88', '513-112', '513-199', '513-257', '513-283', '513-327', '513-351']",513
514,1642916603,This is my uncle's response when he found out that we are requiring guests to be vaccinated to attend my wedding in September.,none,"['514-133', '514-223', '514-248', '514-266', '514-306', '514-326', '514-352', '514-405', '514-409', '514-427']",514
531,1642056398,"“Since September, Serbian citizens have been required to present a vaccine certificate or a special exemption to enter Spanish territory. Spanish authorities say they received no such request from Djokovic.”",favor,"['531-4', '531-8', '531-135', '531-155', '531-177']",531
539,1638889819,"[CHARANIA] Sources: Beginning Jan. 15, any NBA player who is not fully vaccinated will be unable to enter Canada to play games in Toronto. Canadian government will require all individuals entering Canada to be fully vaccinated.",none,"['539-88', '539-296', '539-365']",539
541,1615380058,"Alaska makes vaccines available to those 16 and older, becoming first state to remove eligibility requirements",against,"['541-3', '541-128', '541-143', '541-155', '541-157', '541-164', '541-225', '541-234', '541-257', '541-371']",541
542,1628107247,"L.A. will consider requiring vaccine proof at restaurants, gyms, indoor sporting events",favor,"['542-61', '542-98', '542-112', '542-124', '542-127', '542-176', '542-192', '542-220', '542-264', '542-298', '542-313', '542-407', '542-439']",542
546,1644850300,"Ontario to remove vaccine passport system on March 1, masking requirements to remain in place",none,"['546-9', '546-38', '546-64', '546-77', '546-105', '546-106', '546-168', '546-173', '546-174', '546-200', '546-225', '546-236', '546-238', '546-246', '546-254', '546-303', '546-345', '546-349', '546-443']",546
547,1622412050,"Can employers require a COVID vaccine? Federal agency says yes, and they can offer incentives, too",against,"['547-5', '547-8', '547-14', '547-16', '547-18', '547-27', '547-29', '547-69', '547-98', '547-183', '547-220', '547-230', '547-248', '547-297', '547-299', '547-309', '547-324', '547-340', '547-407', '547-418']",547
552,1647659955,HCA application letter sent by a patient to their doctor’s office that requires the vaccine or a negative test,none,"['552-47', '552-265', '552-311']",552
557,1628528106,Pentagon to require COVID vaccine for all troops by Sept. 15,none,"['557-88', '557-90', '557-199', '557-217', '557-294', '557-326', '557-327', '557-359']",557
569,1619128513,University of California and California State University systems plan to require COVID-19 vaccinations this fall.,against,"['569-2', '569-19', '569-99', '569-115', '569-141', '569-160', '569-251', '569-255', '569-303', '569-369']",569
580,1644581276,A new study from the US has revealed that vaccinated individuals are less likely to require critical care for Omicron symptoms compared to unvaccinated people.,favor,['580-113'],580
587,1628603331,"Ignoring GOP complaints, Pentagon to require vaccines for troops",none,"['587-3', '587-55', '587-63', '587-64', '587-100', '587-104', '587-110', '587-111', '587-138', '587-143', '587-150', '587-153', '587-170', '587-174', '587-187', '587-210', '587-233', '587-242', '587-243', '587-254', '587-255', '587-266', '587-268', '587-270', '587-285', '587-294', '587-309', '587-310', '587-313', '587-315', '587-317']",587
595,1628709554,"L.A. moves toward vaccine requirement for indoor restaurants, stores, gyms, bars",against,"['595-7', '595-12', '595-93', '595-103', '595-187', '595-243', '595-245', '595-249', '595-292', '595-325', '595-338', '595-355', '595-403']",595
598,1606170459,"TN Republicans propose bill, under the guise of ""religious freedom,"" to spread COVID even after we have a safe vaccine | It allows parents to cite religious objections to childhood vaccinations. Employees cannot be required to get vaccinated if it goes against their religion.",none,"['598-2', '598-12', '598-68', '598-156', '598-184', '598-243', '598-271', '598-351']",598
600,1631891925,Quits high paying job to get another job - in an industry where vaccines are now required.,against,"['600-9', '600-13', '600-132', '600-141', '600-146', '600-210', '600-213', '600-232', '600-241', '600-312', '600-315', '600-319', '600-330', '600-349', '600-355', '600-366', '600-407', '600-456']",600
607,1656504294,Montana body slams the requirement of vaccination as a condition of employment. Covid then body slams fans of this decision - The in search of oxygen compilation.,none,"['607-107', '607-109', '607-115', '607-195', '607-254', '607-324']",607
614,1636306515,L.A. Movie Theaters Will Require Proof of COVID-19 Vaccination Starting November 8,against,"['614-1', '614-11', '614-27', '614-60']",614
618,1628710095,L.A. moves toward requiring vaccines at indoor venues,against,"['618-4', '618-15', '618-20', '618-22', '618-25', '618-31', '618-35', '618-63', '618-68', '618-112', '618-139', '618-179', '618-225', '618-294', '618-309', '618-310', '618-313', '618-387', '618-417', '618-420', '618-431', '618-444']",618
619,1646691948,"L.A. to consider ending COVID vaccine proof requirement at bars, restaurants, gyms",favor,"['619-17', '619-33', '619-38', '619-159', '619-295', '619-455', '619-459']",619
622,1629909730,Montana becomes the first U.S. state to ban vaccine requirements for employees.,favor,"['622-2', '622-6', '622-17', '622-39', '622-121', '622-149', '622-150', '622-202', '622-214', '622-236', '622-265', '622-280', '622-282', '622-301']",622
629,1627516610,"Companies have legal right to require vaccinations, new federal guidance says",none,"['629-16', '629-21', '629-37', '629-38', '629-41', '629-43', '629-57', '629-67', '629-71', '629-74', '629-85', '629-88', '629-89', '629-90', '629-98', '629-105', '629-108', '629-110', '629-119', '629-126', '629-128', '629-143', '629-147', '629-148', '629-153', '629-156', '629-163', '629-164', '629-205', '629-212', '629-224', '629-234', '629-235', '629-236', '629-240', '629-255', '629-258', '629-269', '629-278', '629-285', '629-287', '629-288', '629-292']",629
632,1627399299,"Prove You’re Vaccinated: San Diego Bars, Restaurants Move Toward Vaccine Requirement",none,"['632-8', '632-30', '632-41', '632-48', '632-62', '632-81', '632-93', '632-117', '632-138', '632-143', '632-150', '632-154', '632-166', '632-167', '632-175', '632-176', '632-179', '632-182', '632-191', '632-193', '632-230', '632-288', '632-323', '632-370', '632-371', '632-386', '632-442', '632-449', '632-459', '632-462']",632
633,1739528891,"﻿Lawmakers Want To Make It Harder For Kids To Skip Vaccines. Roughly 1 in 5 students in Hawaiʻi were missing required vaccines last year. Doctors say that’s a growing health threat, but efforts to toughen state law are drawing intense criticism from parents opposed to vaccines.",none,"['633-3', '633-10', '633-24', '633-33', '633-42', '633-43', '633-51', '633-60', '633-62', '633-64', '633-96', '633-144']",633
643,1637862845,US to require vaccines for all border crossers in January,favor,"['643-142', '643-220']",643
656,1628010031,"Microsoft will require vaccinations for U.S. workers, vendors and office visitors",against,"['656-1', '656-42', '656-43', '656-50', '656-55', '656-56', '656-60', '656-61', '656-62', '656-105', '656-116', '656-227', '656-297', '656-376', '656-414']",656
659,1621345873,India Is Making It Nearly Impossible for Homeless People to Get Vaccinated. India’s vaccination program requires a mobile phone and a home address. Many people have neither.,none,"['659-60', '659-65', '659-77', '659-115', '659-135', '659-138', '659-191', '659-202', '659-230', '659-243']",659
666,1619824291,"Florida will fine any business or school $5,000 each time it requires a “vaccine passport"" for entry or participation under a bill bound for Gov. Ron DeSantis’ desk.",none,"['666-6', '666-8', '666-18', '666-31', '666-76', '666-77', '666-85', '666-96', '666-101', '666-113', '666-130', '666-137', '666-147', '666-159', '666-174', '666-228', '666-232']",666
674,1628084830,"Microsoft to require proof of vaccination from on-site staff, pushes back full reopening",favor,"['674-14', '674-15', '674-63', '674-80']",674
706,1720234256,We will forcefully vaccinate your kids until the autism rate is 100%,against,"['706-3', '706-10', '706-158', '706-293']",706
707,1463102460,Ontario parents who object to vaccines could be forced to take a class in science of immunization.,against,"['707-6', '707-12', '707-18', '707-21', '707-104', '707-108', '707-111', '707-136', '707-151', '707-154', '707-180', '707-197', '707-198', '707-209', '707-223', '707-235', '707-239', '707-267', '707-276', '707-284', '707-290', '707-291', '707-314', '707-324', '707-357', '707-358', '707-374', '707-393', '707-417', '707-448']",707
710,1630168655,Putin has banned forcing Russians to get vaccinated and firing them for refusing to get vaccinated,against,"['710-34', '710-84', '710-203', '710-207', '710-231', '710-253', '710-271', '710-341', '710-398']",710
726,1722392067,"Here is a few of the ""Celebrities"" who wanted to FORCE everyone to get the Toxic ""Vaccine""",favor,"['726-2', '726-16', '726-64', '726-104', '726-115', '726-185', '726-210', '726-242', '726-250', '726-307', '726-320', '726-331', '726-333']",726
728,1585172705,"what on flat earth is going on with this deep state kung flu that will force our kids into vaccines that will cause homosexuality, get a brian morans !! ?",against,"['728-109', '728-253']",728
733,1643321703,Marvel Actress Evangeline Lilly Comes Out Against Vaccine Mandates: ‘Nobody Should Ever Be Forced To Inject Their Body’ | The Daily Wire,against,"['733-70', '733-128']",733
739,1639509650,"Elon Musk Says Forced Vaccine Mandates Have No Place In America: ""We should encourage people to be vaccinated, but not force them to be vaccinated or for example, force them to get vaccinated or get fired.”",against,"['739-4', '739-11', '739-13', '739-53', '739-64', '739-114', '739-130', '739-177']",739
745,1629989178,Entire Chicago police force threatens to quit over vaccine mandate.,favor,"['745-83', '745-127', '745-163', '745-171', '745-242', '745-330', '745-361']",745
749,1631278218,"Biden Plans To Force Vaccines, His Message To The Unvaccinated: ‘We’ve Been Patient, But Our Patience Is Wearing Thin’",favor,"['749-11', '749-16', '749-214', '749-248', '749-279', '749-285', '749-294', '749-330', '749-343', '749-359']",749
772,1626756534,"Sky News forced to correct the record after Alan Jones and Craig Kelly broadcast misleading information about COVID-19, vaccination safety and the Delta strain.",against,"['772-2', '772-80', '772-81', '772-145', '772-242']",772
774,1643120149,FDA prevents Florida from using monoclonal antibodies for COVID19. Another criminal act to force everyone to get vaccines by taking away treatments.,against,"['774-24', '774-54', '774-67', '774-91', '774-178', '774-216']",774
779,1634611983,"Firefighter ""forced"" out his job for not getting vaccinated. I wonder if he refused the other half dozen vaccinations he needed for the job in the first place. I hope that his Christian faith offers the same benefits as his union job.",against,"['779-2', '779-15', '779-86', '779-91', '779-134', '779-160', '779-164', '779-216', '779-223', '779-233']",779
780,1673833654,Now you know how Bill Gates is going crash the food industry and force the vaccine on you,favor,"['780-17', '780-23', '780-44', '780-157', '780-170']",780
789,1678414543,Democrat-backed bill would force parents take vaccine education course before opting out of school mandates,against,['789-158'],789
790,1639783603,"Japan Govt.: ""Please do not force anyone in your workplace or those who around you to be vaccinated, and do not discriminate against those who have not been vaccinated.”",none,['790-105'],790
793,1627889750,Imagine paying thousands of dollars to the University of Michigan to be forced to get vaccinated even if you’re an online student lol,against,"['793-5', '793-90', '793-113', '793-123', '793-127', '793-144', '793-156', '793-220', '793-225', '793-233', '793-305', '793-308', '793-326', '793-382']",793
812,1652103393,"Pfizer documents: Over 1,200 people died during Pfizer vaccine trials during the first 28 days of receiving the vaccine. It had only a 12% efficacy which dropped to 1% over time. They wanted to hide this data for 75 years but were forced to release it. Damning evidence.",favor,"['812-128', '812-166']",812
816,1639434850,"U.S. Air Force discharges 27 for refusal to get COVID vaccine | WASHINGTON (AP) — The Air Force has discharged 27 people for refusing to get the COVID-19 vaccine, making them what officials believe are the first service members to be removed for disobeying the mandate to get the shots.",against,"['816-1', '816-4', '816-18', '816-47', '816-53', '816-61', '816-95', '816-102', '816-160']",816
820,1634202635,Countries with the highest forced vaccine mandates and lockdowns are also the countries in the most financial peril. Western governments are trying to suppress and divide the populace before they get unruly and wise to the fact that their nation has been looted.,none,"['820-51', '820-91', '820-115', '820-148', '820-161', '820-187']",820
822,1589478492,"The most FASCIST thread I have ever read on r/Worldnews about vaccination... “Force them to take it, “cut them from society”, “let them die if they don’t”, “increase taxes on unvaccinated” etc... Scary how easy it was for the elites to condition minds",favor,"['822-7', '822-14', '822-31', '822-101', '822-113', '822-146', '822-169', '822-221', '822-262', '822-333']",822
830,1570192687,"Being forced out of school for refusing to vaccinate wasn't bad enough, this mom also has to humiliate her kid on their last day of school",favor,"['830-2', '830-3', '830-12', '830-51', '830-84', '830-99']",830
845,1688841037,SmugNurse on TikTok who advocated for forced vaccination and censorship of vaccine injures has suffered a stroke,none,"['845-15', '845-57', '845-109']",845
864,1635259395,NYPD top cop urges COVID vaccinations before Friday deadline that could send quarter of force home without pay,favor,[],864
869,1656257244,"No one forced you to get the Vaccines except: Work, Joe Biden, OSHA, and every single Democrats State Government. The Left can’t even have a honest debate.",favor,"['869-8', '869-12', '869-41', '869-42', '869-57', '869-65', '869-80', '869-138', '869-141', '869-142', '869-173', '869-193', '869-239', '869-260', '869-286', '869-317', '869-353', '869-399', '869-424', '869-428', '869-439']",869
886,1595586037,"Don't worry, you crazy paranoid ""anti-vaxxers,"" no one wants to force you to get vaccinated. They'll just forbid you to work, shop, engage in any other social activities, and monitor your and your family's every movement if you don't. The choice is yours!",favor,"['886-35', '886-48', '886-75', '886-77', '886-99', '886-131', '886-136', '886-151', '886-158']",886
891,1655725493,"Kiplan Case - ""Today, I lost my job at Cloud Imperium Games for standing up for my fellow coworkers. We were being forced to return to office after they made the decision to get rid of their vaccine policy.""",against,"['891-8', '891-14', '891-165', '891-235', '891-246', '891-266', '891-277', '891-303']",891
892,1644430847,"Some people are truer Patroits than others. He screams ""Let's go Brandon"" out his car window. He keeps loaded guns by the door incase government tries to force him to get vaccinated. He took a dump on the floor of a public library for socializing access to books. Be like Brady (amen)",favor,['892-2'],892
893,1669234165,Mother in law won't get the flu vaccine so she can meet our newborn son. Insists she is an expert on vaccines,against,"['893-26', '893-47', '893-159', '893-387']",893
906,1556695435,"Vaccinating and breastfeeding a child are not an option for parents, but a child's right under UAE laws, a top official has clarified. Skipping vaccination or not breastfeeding the child is considered 'neglect'",against,"['906-4', '906-94', '906-100', '906-122', '906-145', '906-148', '906-208']",906
918,1691186748,Connecticut law ending religious vaccine exemptions for children is upheld,none,['918-45'],918
922,1625092364,Parents upset over Tennessee law allowing kids to get vaccinated without parental consent,none,"['922-15', '922-61', '922-125', '922-161', '922-177']",922
947,1510695617,Parents who refuse to vaccinate their children will not be able to enrol them in school under new laws being pushed by the state government.,none,"['947-4', '947-38', '947-51', '947-137', '947-147', '947-174']",947
